"time","units","value"
"2021/6/1 13:06",9,0.496488718333333
"2021/6/1 13:12",9,0.498419051666667
"2021/6/1 13:18",9,0.511896573333333
"2021/6/1 13:24",9,0.475010691666667
"2021/6/1 13:30",9,0.476254961666667
"2021/6/1 13:36",9,0.509002533333333
"2021/6/1 13:42",9,0.488194405
"2021/6/1 13:48",9,0.450534146666667
"2021/6/1 13:54",9,0.48919758
"2021/6/1 14:00",9,0.512838485
"2021/6/1 14:06",9,0.53031395
"2021/6/1 14:12",9,0.476699161666667
"2021/6/1 14:18",9,0.496791053333333
"2021/6/1 14:24",9,0.471429086666667
"2021/6/1 14:30",9,0.475940983333333
"2021/6/1 14:36",9,0.501012215
"2021/6/1 14:42",9,0.521269226666667
"2021/6/1 14:48",9,0.553178083333333
"2021/6/1 14:54",9,0.581435595
"2021/6/1 15:00",9,0.627417953333333
"2021/6/1 15:06",9,0.615434686666667
"2021/6/1 15:12",9,0.587319658333333
"2021/6/1 15:18",9,0.631647875
"2021/6/1 15:24",9,0.636950518333333
"2021/6/1 15:30",9,0.668615165
"2021/6/1 15:36",9,0.657149373333333
"2021/6/1 15:42",9,0.686906975
"2021/6/1 15:48",9,0.70195728
"2021/6/1 15:54",9,0.729999625
"2021/6/1 16:00",9,0.761713698333333
"2021/6/1 16:06",9,0.77543546
"2021/6/1 16:12",9,0.782331221666667
"2021/6/1 16:18",9,0.784335198333333
"2021/6/1 16:24",9,0.768495135
"2021/6/1 16:30",9,0.855757641666667
"2021/6/1 16:36",9,0.872001623333333
"2021/6/1 16:42",9,0.875768901666667
"2021/6/1 16:48",9,0.882038663333333
"2021/6/1 16:54",9,0.959184715
"2021/6/1 17:00",9,0.996803223333333
"2021/6/1 17:06",9,1.00921093333333
"2021/6/1 17:12",9,0.948561996666667
"2021/6/1 17:18",9,0.941561566666667
"2021/6/1 17:24",9,0.91508714
"2021/6/1 17:30",9,0.98260085
"2021/6/1 17:36",9,1.00462733333333
"2021/6/1 17:42",9,0.9897873
"2021/6/1 17:48",9,1.00208843666667
"2021/6/1 17:54",9,0.99032025
"2021/6/1 18:00",9,1.01325768333333
"2021/6/1 18:06",9,0.986061306666667
"2021/6/1 18:12",9,0.961931966666667
"2021/6/1 18:18",9,0.952620356666667
"2021/6/1 18:24",9,0.931950541666667
"2021/6/1 18:30",9,0.950864448333333
"2021/6/1 18:36",9,0.946881638333333
"2021/6/1 18:42",9,0.957899758333333
"2021/6/1 18:48",9,0.92495827
"2021/6/1 18:54",9,0.939954503333333
"2021/6/1 19:00",9,0.98248262
"2021/6/1 19:06",9,0.95324832
"2021/6/1 19:12",9,0.930235313333333
"2021/6/1 19:18",9,0.922141796666667
"2021/6/1 19:24",9,0.922013893333333
"2021/6/1 19:30",9,0.950974095
"2021/6/1 19:36",9,0.952123108333333
"2021/6/1 19:42",9,0.902656161666667
"2021/6/1 19:48",9,0.914376813333333
"2021/6/1 19:54",9,0.914975685
"2021/6/1 20:00",9,0.933712275
"2021/6/1 20:06",9,0.910331051666667
"2021/6/1 20:12",9,0.935435246666667
"2021/6/1 20:18",9,0.893169171666667
"2021/6/1 20:24",9,0.882863
"2021/6/1 20:30",9,0.885474271666667
"2021/6/1 20:36",9,0.884267483333333
"2021/6/1 20:42",9,0.874997158333333
"2021/6/1 20:48",9,0.861459663333333
"2021/6/1 20:54",9,0.864633258333333
"2021/6/1 21:00",9,0.894388236666667
"2021/6/1 21:06",9,0.890798881666667
"2021/6/1 21:12",9,0.896423251666667
"2021/6/1 21:18",9,0.865595051666667
"2021/6/1 21:24",9,0.870216053333333
"2021/6/1 21:30",9,0.871664993333333
"2021/6/1 21:36",9,0.844584885
"2021/6/1 21:42",9,0.833555176666667
"2021/6/1 21:48",9,0.815895988333333
"2021/6/1 21:54",9,0.808607178333333
"2021/6/1 22:00",9,0.836883856666667
"2021/6/1 22:06",9,0.816675316666667
"2021/6/1 22:12",9,0.788119593333333
"2021/6/1 22:18",9,0.759568985
"2021/6/1 22:24",9,0.740770623333333
"2021/6/1 22:30",9,0.718914675
"2021/6/1 22:36",9,0.705872345
"2021/6/1 22:42",9,0.653821523333333
"2021/6/1 22:48",9,0.653377516666667
"2021/6/1 22:54",9,0.657662336666667
"2021/6/1 23:00",9,0.661286561666667
"2021/6/1 23:06",9,0.688932898333333
"2021/6/1 23:12",9,0.672119265
"2021/6/1 23:18",9,0.663329975
"2021/6/1 23:24",9,0.661465511666667
"2021/6/1 23:30",9,0.639398323333333
"2021/6/1 23:36",9,0.629923921666667
"2021/6/1 23:42",9,0.647808706666667
"2021/6/1 23:48",9,0.630194295
"2021/6/1 23:54",9,0.678208776666667
"2021/6/2 0:00",9,0.793517933333333
"2021/6/2 0:06",9,0.842536046666667
"2021/6/2 0:12",9,0.869635125
"2021/6/2 0:18",9,0.86563845
"2021/6/2 0:24",9,0.86742537
"2021/6/2 0:30",9,0.895539463333333
"2021/6/2 0:36",9,0.891953988333333
"2021/6/2 0:42",9,0.882209203333333
"2021/6/2 0:48",9,0.878127568333333
"2021/6/2 0:54",9,0.85430639
"2021/6/2 1:00",9,0.849099705
"2021/6/2 1:06",9,0.861781313333333
"2021/6/2 1:12",9,0.832723086666667
"2021/6/2 1:18",9,0.824705791666667
"2021/6/2 1:24",9,0.812705105
"2021/6/2 1:30",9,0.80320687
"2021/6/2 1:36",9,0.791158873333333
"2021/6/2 1:42",9,0.77501295
"2021/6/2 1:48",9,0.76046945
"2021/6/2 1:54",9,0.790757313333333
"2021/6/2 2:00",9,0.783177
"2021/6/2 2:06",9,0.751281896666667
"2021/6/2 2:12",9,0.727092475
"2021/6/2 2:18",9,0.723374233333333
"2021/6/2 2:24",9,0.721420636666667
"2021/6/2 2:30",9,0.724307433333333
"2021/6/2 2:36",9,0.718510591666667
"2021/6/2 2:42",9,0.720496165
"2021/6/2 2:48",9,0.70660579
"2021/6/2 2:54",9,0.707634915
"2021/6/2 3:00",9,0.694857033333333
"2021/6/2 3:06",9,0.693425325
"2021/6/2 3:12",9,0.690010455
"2021/6/2 3:18",9,0.681074696666667
"2021/6/2 3:24",9,0.677152556666667
"2021/6/2 3:30",9,0.672435428333333
"2021/6/2 3:36",9,0.665821408333333
"2021/6/2 3:42",9,0.661556626666667
"2021/6/2 3:48",9,0.667316093333333
"2021/6/2 3:54",9,0.678443828333333
"2021/6/2 4:00",9,0.733287608333333
"2021/6/2 4:06",9,0.724941781666667
"2021/6/2 4:12",9,0.750581656666667
"2021/6/2 4:18",9,0.727403541666667
"2021/6/2 4:24",9,0.725263868333333
"2021/6/2 4:30",9,0.717852573333333
"2021/6/2 4:36",9,0.717916543333333
"2021/6/2 4:42",9,0.714827216666667
"2021/6/2 4:48",9,0.716695551666667
"2021/6/2 4:54",9,0.714059728333333
"2021/6/2 5:00",9,0.764097581666667
"2021/6/2 5:06",9,0.756102911666667
"2021/6/2 5:12",9,0.770309191666667
"2021/6/2 5:18",9,0.79658011
"2021/6/2 5:24",9,0.794050905
"2021/6/2 5:30",9,0.788077683333333
"2021/6/2 5:36",9,0.818077511666667
"2021/6/2 5:42",9,0.895151843333333
"2021/6/2 5:48",9,0.848125796666667
"2021/6/2 5:54",9,0.86173124
"2021/6/2 6:00",9,0.88886309
"2021/6/2 6:06",9,0.939373081666667
"2021/6/2 6:12",9,0.966514201666667
"2021/6/2 6:18",9,0.952731221666667
"2021/6/2 6:24",9,0.932568798333333
"2021/6/2 6:30",9,0.958923068333333
"2021/6/2 6:36",9,0.972388986666667
"2021/6/2 6:42",9,0.960016165
"2021/6/2 6:48",9,0.98747709
"2021/6/2 6:54",9,0.966768881666667
"2021/6/2 7:00",9,0.958060241666667
"2021/6/2 7:06",9,0.960068501666667
"2021/6/2 7:12",9,0.910635326666667
"2021/6/2 7:18",9,0.947678208333333
"2021/6/2 7:24",9,0.964648216666667
"2021/6/2 7:30",9,0.928173191666667
"2021/6/2 7:36",9,0.883802343333333
"2021/6/2 7:42",9,0.947771253333333
"2021/6/2 7:48",9,0.964248956666667
"2021/6/2 7:54",9,1.00218143333333
"2021/6/2 8:00",9,0.992099446666667
"2021/6/2 8:06",9,0.920769625
"2021/6/2 8:12",9,0.956428741666667
